Store,Listed By,Date,Flavor,Is Season Flavor,Quantity
"Mcdaniel, Underwood and Miller",Kenneth Fernandez,2021-09-24,Vanilla,No,38
"Bowen, Hicks and Patterson",Gregory Holmes,2023-05-24,Coconut,Yes,19
Kennedy-Goodman,Caroline Bell,2021-01-02,Strawberry,Yes,73
Leblanc Group,Nicholas Rose,2020-12-20,Lemon,No,78
Hunter and Sons,Joshua Hernandez,2023-07-28,Vanilla,Yes,3
Miller-Reyes,Stephanie Moyer,2021-09-01,Lemon,No,95
Wallace LLC,Theresa Stewart,2020-03-03,Mint,Yes,10
Gilbert LLC,Robin Peck,2022-05-19,Lemon,No,42
Miller-Richards,Tiffany Dickson,2023-05-02,Vanilla,No,55
Watts LLC,Adam Benson,2020-10-27,Mint,No,76
Torres-Pacheco,Kurt Floyd,2023-06-26,Strawberry,No,44
"Hanson, Wilson and Clarke",Andrew Miller,2023-06-20,Mint,Yes,20
Smith Inc,Keith Davis,2021-03-11,Coconut,Yes,74
Smith-Houston,Christine James,2023-03-23,Vanilla,Yes,24
"Smith, Carter and Martin",Andrew Moore,2020-05-09,Chocolate,No,95
"Goodwin, Foster and Short",Kirsten Ross,2021-12-16,Vanilla,Yes,61
"Smith, Howard and Kim",Angela Wolf,2023-08-19,Mint,Yes,68
Murphy-Knapp,Kristen Jones,2022-12-07,Strawberry,Yes,65
Smith-Sanchez,Nicholas Shaw,2020-08-22,Vanilla,Yes,92
"Kaiser, Cantu and Williams",Lindsey Orozco,2021-05-10,Lemon,No,68
Johnson-Melendez,Tammy Foster,2021-03-01,Coconut,No,67
Crane LLC,Jessica Lewis,2022-12-10,Lemon,No,51
"Price, Brown and Higgins",James Nguyen,2024-03-03,Vanilla,No,72
Hodge-Melton,Amanda Campos,2023-11-08,Chocolate,Yes,18
Payne-Carr,Joseph Young,2020-03-25,Vanilla,No,74
Jones and Sons,Ryan Mcconnell,2020-05-10,Vanilla,No,59
"Vance, Cooper and Perry",Laura Jones,2021-03-20,Mint,Yes,85
Blair and Sons,Matthew Davila,2024-03-09,Coconut,No,72
Bell-Romero,Barbara Brown,2021-11-11,Chocolate,Yes,51
Dean-Yang,James Knapp,2021-12-25,Vanilla,Yes,46
Perez-Miller,Lisa Smith,2020-10-27,Mint,Yes,32
Clark Group,Ryan Baldwin,2022-07-16,Coconut,No,66
Gray-Moore,Sarah Villanueva,2022-07-14,Lemon,No,96
King Group,Heather Reyes,2022-05-25,Strawberry,Yes,82
Williams PLC,Tracy Valdez,2020-03-22,Vanilla,No,86
"Rollins, Cervantes and Miller",Jennifer Baker,2023-09-26,Mint,Yes,74
"Walker, Brown and Knight",Bradley Lewis MD,2023-08-04,Chocolate,Yes,60
Harrison-Webb,Mary Martin,2022-12-22,Chocolate,Yes,77
"Ward, Fischer and Kelley",Elizabeth Stone,2021-08-22,Chocolate,Yes,80
"Hensley, Bailey and Schwartz",Amanda Morris,2020-12-14,Lemon,No,36
Chan Inc,Alejandro Campbell,2023-07-18,Mint,Yes,16
Cummings-Wagner,Nichole Cervantes,2020-05-10,Chocolate,Yes,77
"Odonnell, Wood and Miller",Joseph Brown,2021-01-21,Coconut,Yes,16
Roberts-Williams,Diana Reed,2020-03-01,Mint,No,51
"Morris, Boyer and Wright",Lindsey Mcmahon,2022-10-16,Vanilla,Yes,48
House-May,Julia Kidd,2020-09-18,Coconut,No,84
Walker-Edwards,Ricky Barker,2023-05-31,Vanilla,No,48
"Walker, Barnett and Morris",Brittany Gross,2023-10-07,Lemon,Yes,79
Warren and Sons,Christine Santos,2020-03-01,Coconut,No,41
"Rangel, Obrien and Mcdaniel",Alicia Gordon,2024-03-15,Vanilla,No,35
Rogers and Sons,Kristin Beck,2021-01-20,Chocolate,No,32
"Rodriguez, Mcgee and Acevedo",John Hensley,2021-12-20,Strawberry,No,84
Coffey Group,Denise Figueroa,2020-05-30,Chocolate,No,91
"Norman, Cowan and Thomas",Mark Campbell,2022-03-06,Vanilla,No,87
"Wright, Santana and Neal",Olivia Butler,2020-10-31,Chocolate,Yes,98
Hicks-Olson,Charles Peters,2021-06-19,Mint,Yes,27
Middleton Ltd,Jennifer Johnson,2021-03-30,Chocolate,No,96
Butler-Wagner,Carmen Rosario,2021-08-25,Mint,No,45
Henderson LLC,Robert Shaffer,2021-08-04,Chocolate,No,27
Donaldson Inc,Melissa Myers,2023-05-19,Mint,No,22
"Gibbs, Morrow and Moore",Patricia Brooks,2022-07-23,Chocolate,Yes,31
"Rhodes, Sanchez and Valdez",Nicole Gomez,2023-02-07,Coconut,Yes,55
Zimmerman-Thompson,Matthew Edwards,2020-07-10,Mint,No,89
"Mendoza, Allen and Washington",James Hensley,2024-06-15,Coconut,Yes,73
Ponce-Gonzalez,Ronald Smith,2020-01-07,Lemon,Yes,49
"Taylor, Davis and Brown",Jessica Williams,2023-04-22,Lemon,No,84
Rowe and Sons,James Hamilton,2021-10-24,Vanilla,No,2
Walsh-Mora,Chad Perez,2020-04-22,Lemon,No,60
Wilkins-Jefferson,Bryan Gonzalez,2023-09-27,Lemon,Yes,18
Brown-Byrd,Jennifer Alvarado,2021-08-26,Chocolate,Yes,58
"Torres, Garza and Clayton",Robert Avila,2023-03-09,Chocolate,Yes,10
Huynh-Hill,Vanessa James,2020-01-09,Lemon,No,80
Hernandez-Ford,Melinda Jones,2021-10-25,Vanilla,No,89
Diaz-Baird,Lori Delacruz,2020-09-27,Coconut,No,59
Welch Inc,Mary Mercado,2024-01-24,Lemon,No,14
Garrett Ltd,Michelle Skinner,2021-04-23,Mint,No,51
Miller-Conner,Justin Smith,2021-07-31,Vanilla,No,6
Phillips and Sons,Katherine Scott,2023-06-11,Coconut,No,54
Boyd-Peterson,Stacy Zamora,2020-10-28,Coconut,Yes,39
Day-Valencia,Michelle Mckinney,2024-03-05,Lemon,No,57
"Sanders, Hoffman and Scott",Crystal May,2023-10-13,Vanilla,Yes,84
Santos PLC,Kathy Black,2022-01-17,Mint,Yes,22
Mcneil Group,Stephen Hudson,2022-03-26,Lemon,Yes,74
Smith-Anderson,Jason Miller,2022-09-14,Chocolate,Yes,53
Molina-Rose,Jesse Mayer,2020-05-24,Mint,No,83
Wright-Shaw,Nathan Wilson,2023-04-09,Strawberry,Yes,61
Mccoy-Zhang,Jose Gilbert,2023-06-05,Coconut,No,72
Miller and Sons,Scott Zimmerman,2022-07-20,Strawberry,No,82
"Griffin, Price and Cummings",Aaron Griffin,2022-04-28,Vanilla,No,54
Brady LLC,Andrew Williams,2024-04-11,Chocolate,No,79
"Johnson, Hobbs and Pierce",Jonathan Scott,2022-11-10,Chocolate,No,73
"Osborne, Smith and Soto",Vanessa Mcdonald,2020-02-25,Coconut,No,1
"Smith, Brown and Gutierrez",Crystal Vasquez,2024-04-23,Strawberry,Yes,9
"Flores, Evans and Carpenter",Betty Carr,2023-04-15,Vanilla,Yes,45
Dorsey-Gutierrez,Madison Holland,2023-12-26,Strawberry,No,33
Clark-Morton,Justin Humphrey,2022-09-25,Strawberry,No,15
Rivers LLC,Russell Nelson,2022-06-04,Coconut,No,46
Robinson Ltd,Joseph Mendez,2022-08-19,Lemon,No,30
Martinez Ltd,Dr. Jacob Watson,2021-01-27,Lemon,Yes,47
"Hartman, Thornton and Daniel",Jennifer Griffin,2022-07-25,Chocolate,No,12
"Taylor, Meyer and Frank",Jordan Nguyen,2020-09-18,Mint,No,35
"Anderson, Richardson and Blair",Angel Ponce,2020-12-27,Coconut,Yes,91
"Garcia, Santos and Allen",Ms. Julie Christensen,2022-08-21,Coconut,No,72
Jones-Baker,Denise Powell,2022-10-10,Mint,Yes,91
"Lewis, Gibbs and Townsend",Brandon Edwards,2020-07-03,Lemon,Yes,39
Estrada-Gonzalez,Matthew Sanders,2022-08-18,Strawberry,No,94
Miller PLC,Brittany Lewis,2023-11-02,Strawberry,Yes,52
"Murphy, Lambert and Martinez",Russell Curtis,2021-10-31,Strawberry,Yes,73
"Mooney, Holland and Castro",Rhonda Thompson,2020-11-01,Coconut,Yes,92
Bonilla and Sons,Ronald Smith,2023-01-20,Strawberry,No,59
Henry-Patterson,Karen Brown,2022-11-09,Vanilla,Yes,68
Bowen PLC,Emily Phillips,2021-04-16,Lemon,No,12
Wise-Hunt,Beth Wood,2024-03-27,Coconut,Yes,13
Barber-Hudson,Larry Castaneda,2021-09-01,Coconut,Yes,99
Sullivan Ltd,Christine Garcia,2024-04-19,Mint,No,48
Knox PLC,Joseph Sharp,2023-08-16,Coconut,No,51
Todd Ltd,Thomas Watson,2021-11-06,Strawberry,No,62
"Weaver, Serrano and Rodriguez",William Jackson,2022-12-25,Mint,Yes,65
"Weber, White and Woods",James Pierce,2023-09-15,Vanilla,Yes,98
"Drake, King and Molina",Justin Morgan,2020-12-14,Lemon,No,62
"Hale, Jimenez and Gutierrez",Rebekah Snyder,2020-04-18,Chocolate,Yes,83
"Reid, Kennedy and Rodriguez",Denise Novak,2022-05-14,Mint,Yes,69
Lowe-Kelly,Kelly Ramos,2020-12-18,Vanilla,No,88
Matthews-Hudson,William Williams,2024-06-08,Chocolate,No,69
Anderson Ltd,Timothy Carlson,2023-05-02,Chocolate,Yes,42
"Moore, Williams and Thompson",Jenny Bishop,2023-02-17,Chocolate,No,63
Shepard PLC,Teresa Brown,2021-08-07,Mint,No,27
Mays Inc,Tonya Pierce,2022-09-24,Vanilla,No,72
"Knight, Nguyen and Allen",Lynn Bullock,2023-02-24,Mint,No,28
Mueller-Taylor,Jonathan Hicks,2022-04-14,Coconut,Yes,2
Porter LLC,Mr. Samuel Rivera,2022-12-27,Lemon,No,91
"Day, James and Johnson",Peter Graves,2024-06-14,Lemon,No,10
"Acevedo, Macias and Gallegos",Bruce Galvan,2020-09-18,Coconut,No,20
Taylor-Williamson,Jessica Olson,2022-02-13,Mint,Yes,51
"Shaw, Watson and Holt",Michael Brennan,2021-09-22,Vanilla,Yes,51
"Rush, Marshall and Turner",Sherry Nelson,2022-09-04,Mint,No,22
Humphrey-Meyers,Jessica Taylor,2020-12-04,Mint,Yes,34
"Buck, Poole and Matthews",Jordan Martinez,2020-07-09,Lemon,No,27
Parsons-Stevens,Keith Chase,2020-08-31,Lemon,Yes,19
Rose and Sons,Anthony Cruz,2020-12-23,Mint,Yes,47
Sullivan-Rogers,Lisa Roy,2020-01-30,Lemon,No,3
Hart LLC,Brandon White,2021-09-26,Lemon,No,73
"Wise, Williams and Martin",Steven Lloyd,2020-08-13,Vanilla,No,6
Miller-Thomas,Crystal Hernandez DDS,2020-04-21,Coconut,Yes,11
Mcfarland-Fletcher,Thomas Wyatt,2022-06-20,Vanilla,No,82
Rodriguez-Davis,Dustin Young,2020-09-12,Coconut,No,8
David-Powell,Daryl Miller,2022-08-22,Chocolate,No,10
Nelson-Arnold,Daniel Washington,2023-06-17,Strawberry,No,86
Greene Group,Veronica Johnson,2023-08-06,Coconut,No,91
Richardson Group,Steven Garcia,2021-12-17,Coconut,Yes,22
Harris Group,Brenda Espinoza,2021-06-23,Chocolate,No,90
Kline LLC,Gregory Powell,2022-07-26,Chocolate,Yes,32
Berg-Archer,Andrew Steele,2021-01-26,Vanilla,No,11
Hart Inc,Michael Moore,2020-07-25,Chocolate,No,26
Diaz-Miller,Donald Myers,2021-08-25,Lemon,No,81
White LLC,Patricia Sanchez,2021-10-22,Chocolate,Yes,94
Tucker Group,Nichole Walsh,2024-06-12,Strawberry,Yes,56
"Parker, Rodriguez and Johnson",Ian Ferrell,2020-04-12,Strawberry,No,48
Johnson-Ellis,Maria Ware,2020-06-13,Lemon,No,50
"Sweeney, Leblanc and Russell",Julie Costa,2024-06-25,Strawberry,No,44
Montoya Group,Mark Vaughn,2020-06-08,Strawberry,No,21
"Wells, Martin and Moore",John Ross,2023-12-23,Mint,No,46
"Sexton, Ward and Shea",Crystal Lynch,2022-06-07,Vanilla,Yes,24
"Moore, Steele and Scott",Aaron Tucker,2022-07-29,Vanilla,No,86
"Andrews, Skinner and Lopez",Richard Barrett,2021-08-26,Lemon,No,37
Allen LLC,Kevin Scott,2022-08-25,Coconut,Yes,36
Rodriguez Ltd,Angel Williams,2020-11-28,Chocolate,No,91
Thomas LLC,Deanna Booker,2022-04-29,Chocolate,Yes,96
Johnson Ltd,Andrew Lam Jr.,2021-11-22,Strawberry,No,2
Mckee PLC,Jay Wells,2024-05-17,Chocolate,No,68
Walters-Jones,Jason Chang,2021-06-29,Mint,Yes,21
"Barrett, Wagner and Jones",Cynthia Hansen,2020-09-26,Strawberry,Yes,69
Cox-Kramer,Amber Solis,2021-10-30,Coconut,No,44
Heath-Krause,Amanda Cunningham,2022-04-03,Mint,Yes,17
Wagner-Wood,Paula Miller,2021-09-21,Lemon,Yes,8
Pittman-Johnson,Sara Dunn,2021-06-07,Coconut,Yes,34
Arroyo-Mcintyre,Charlene Anderson,2021-10-11,Vanilla,No,60
Martinez-Rogers,Johnny Brewer,2022-07-24,Vanilla,Yes,37
Dillon Inc,Madison Sharp,2022-06-09,Vanilla,Yes,14
"Bennett, Hill and Cameron",Timothy Russell,2020-04-22,Chocolate,Yes,35
Hicks Ltd,Jeremy Green,2020-02-10,Vanilla,Yes,47
Sanders Group,Jimmy Hansen,2021-05-20,Coconut,Yes,8
Fox-Gonzales,Melanie Snyder,2021-03-15,Strawberry,Yes,13
Coleman-Taylor,Leslie Palmer,2020-09-24,Mint,Yes,83
Winters-Foster,Douglas Richardson,2023-09-08,Vanilla,Yes,56
Cruz Ltd,Gabrielle Duke,2023-08-07,Coconut,Yes,12
Hogan-Bishop,Nathan Blanchard,2020-08-15,Lemon,No,7
Fitzgerald LLC,Leonard Jenkins,2024-03-20,Strawberry,Yes,86
Cox PLC,Kimberly Rodriguez,2022-03-27,Mint,No,95
Moore-Hamilton,Christina Moore,2023-08-29,Mint,No,54
Young and Sons,Elizabeth Leon,2021-12-18,Mint,No,63
"Peterson, Price and Ward",Lori Heath,2023-07-11,Lemon,Yes,13
"Gonzalez, Colon and Clark",Courtney Barnes,2022-11-24,Lemon,No,6
Murphy Group,Brandon Smith,2022-06-11,Mint,Yes,56
"Gonzalez, Vargas and Walters",Justin Lamb,2023-12-03,Mint,No,79
Moore Group,Steven Hill,2023-12-27,Chocolate,Yes,5
Vasquez-Holmes,Kathleen Jones,2022-11-26,Coconut,Yes,66
"Chandler, Sparks and Escobar",Aaron Brown,2022-09-02,Chocolate,No,10
"Harris, Vega and Martin",Brittany Mejia,2021-03-13,Mint,Yes,9
Gillespie Inc,Walter Flores,2024-04-04,Mint,No,5
Hill-Lopez,Russell Kirk,2023-03-06,Vanilla,No,3
Carr PLC,Breanna Harrison,2024-03-21,Lemon,No,23
Garcia-Sims,Steve Sweeney,2022-11-02,Vanilla,No,93
Powell and Sons,Michael Bailey,2022-01-13,Mint,No,17
Gill and Sons,Michael Robinson,2021-12-02,Strawberry,No,48
"Bradford, Wagner and Duke",Randall Patton,2021-10-09,Lemon,No,48
"Huff, Soto and Payne",Amy Lozano,2020-07-19,Lemon,Yes,81
Owens PLC,Deborah Sharp,2022-10-18,Lemon,No,75
Butler-Miller,William Sanchez,2024-04-12,Lemon,Yes,51
"Callahan, Carter and Brown",Suzanne Baker,2020-07-25,Chocolate,Yes,36
"Hernandez, Cooper and Davis",Chelsea Campbell,2020-05-19,Coconut,Yes,73
Garza-Rivera,Melissa Hicks,2022-07-12,Mint,No,34
Perry-Meyer,Dawn Valdez,2023-03-18,Chocolate,Yes,71
"Brown, Reid and Sullivan",Thomas Castaneda,2022-03-21,Coconut,Yes,9
Marshall PLC,Andrew Brown,2020-09-11,Mint,No,11
Ayala-Martinez,Chris Warren,2021-05-05,Vanilla,Yes,53
Harvey PLC,William Oneill,2020-02-01,Vanilla,Yes,4
Barber-Dennis,Yvette Thompson,2021-11-07,Lemon,No,100
Wilson-Clark,Travis Lewis,2020-10-05,Coconut,No,87
"Brennan, Cooper and Rodriguez",James Jones,2023-11-07,Lemon,Yes,57
"Davis, Nguyen and Garner",Johnathan Bailey,2022-04-04,Strawberry,No,11
Knight-Scott,Bill Gross,2020-08-26,Chocolate,No,28
"Farley, Torres and Pham",Steven Williams,2022-03-12,Strawberry,Yes,23
Graham Inc,Daniel Baker,2020-02-15,Strawberry,No,55
Brown PLC,Mary Chavez,2024-03-25,Coconut,No,7
Martin and Sons,Brenda Esparza,2021-06-27,Coconut,No,48
Wallace Ltd,Lisa Harper,2023-06-20,Lemon,No,4
"Maldonado, Walker and Miller",Jacob Johnson,2021-07-09,Strawberry,Yes,63
Thompson and Sons,Christopher Alexander,2021-12-01,Vanilla,No,21
Buck and Sons,Frank Hamilton,2021-03-25,Mint,No,70
Lee Ltd,April Archer,2022-05-08,Strawberry,No,42
Gutierrez-Armstrong,Brian Hart,2022-09-25,Lemon,Yes,17
Greene-Crawford,Leslie Rocha,2020-06-07,Mint,No,86
"Rios, Robinson and Scott",Aaron Ray,2021-04-23,Lemon,No,62
"Ramirez, Wiley and Hamilton",Colleen Romero,2020-06-21,Vanilla,No,18
Hayes Ltd,Lauren Krause,2021-06-30,Vanilla,No,12
Byrd and Sons,Sandy Holmes,2023-08-17,Coconut,Yes,68
Jones Ltd,Heather Hill,2024-02-06,Coconut,Yes,21
Mcknight and Sons,Michael Mendoza,2023-09-29,Mint,Yes,78
Fernandez LLC,Nicole Kelley,2020-07-03,Chocolate,Yes,12
"Austin, Perez and Mendez",Eric Allen,2022-01-10,Mint,Yes,12
Small-Romero,Michael Cline,2023-05-10,Chocolate,Yes,91
Murray and Sons,Philip Perez,2021-12-26,Coconut,No,22
Garcia-Howell,Meghan Flores,2022-05-29,Strawberry,No,92
Scott-Wall,Adam Wyatt,2023-01-03,Mint,Yes,41
Orr and Sons,Jessica Cline,2022-12-22,Lemon,No,10
Potts PLC,Sandra Rodriguez,2020-03-06,Strawberry,Yes,13
Garcia-Turner,Samantha Davis,2020-12-13,Coconut,No,35
Smith Ltd,Sherri Guerrero,2021-11-18,Lemon,No,18
Ramirez and Sons,Brad Holt,2020-10-27,Coconut,Yes,87
Paul PLC,William Hall,2023-12-04,Vanilla,No,60
Leonard PLC,Gregory Miller,2021-07-03,Coconut,No,45
"Hammond, Lambert and Lang",Logan Garcia,2024-06-07,Coconut,Yes,58
Harper-Todd,Paul Jones,2022-01-15,Mint,No,6
Hall-Wilson,Robin Hill,2020-01-16,Chocolate,No,83
"Watson, Harvey and Davenport",Trevor Powell,2022-06-17,Lemon,No,92
"Summers, Novak and Adams",Vicki Berg,2022-08-05,Strawberry,No,12
Peters Group,Matthew Sanchez,2022-07-24,Mint,Yes,84
"Bush, Burns and Chavez",Amy Cabrera,2021-12-15,Vanilla,Yes,1
"Cain, Salazar and Morales",Ebony Freeman,2023-10-17,Coconut,No,53
Gray-Gallagher,Linda Choi,2020-03-09,Chocolate,Yes,55
Rivera and Sons,William Cook,2020-03-27,Vanilla,Yes,73
Aguilar and Sons,Maria Washington,2021-10-28,Vanilla,Yes,25
"Gordon, Sanchez and Elliott",Jennifer Hale,2021-12-13,Coconut,Yes,71
Delgado PLC,Jessica Santana,2020-07-16,Lemon,No,73
Hernandez and Sons,Katie Cohen,2020-06-28,Strawberry,Yes,11
"Lee, Pitts and James",Jacqueline Fisher,2020-06-23,Chocolate,Yes,53
Rodriguez PLC,Thomas Webb,2021-05-11,Coconut,Yes,32
Thomas LLC,Robert Blair,2022-10-14,Lemon,No,7
"Wells, Valdez and Howard",Sandra Jones,2020-12-13,Strawberry,Yes,20
Mills Ltd,Mr. Christopher Spencer MD,2021-09-19,Mint,Yes,64
Jones PLC,Russell Boyle,2024-01-04,Strawberry,Yes,38
"Holden, Stephens and Ferrell",Rebecca Williams,2022-07-26,Strawberry,No,99
Williamson-Curry,Susan Sheppard,2022-07-25,Mint,No,30
"Casey, Campbell and Baldwin",Douglas Powell,2024-01-06,Vanilla,Yes,96
Taylor and Sons,Angelica Fisher,2021-01-24,Coconut,No,57
Castillo and Sons,Ashley Allen,2024-04-17,Mint,No,41
Davis and Sons,Melissa Moore,2020-04-28,Coconut,No,64
Jones-Murphy,Robyn Chen,2022-12-02,Vanilla,No,69
"Bailey, Mills and Rosario",Laurie Wood,2020-06-29,Mint,Yes,72
Lewis-Lyons,Daniel Rodriguez,2023-04-26,Strawberry,Yes,18
Conner LLC,James Taylor,2022-07-21,Strawberry,Yes,88
Ruiz Inc,John Murphy,2021-01-30,Chocolate,No,99
Harris Inc,Raymond Clark,2024-01-13,Strawberry,No,7
Mendoza Inc,Jamie Davis,2022-07-02,Chocolate,Yes,96
"Velasquez, Cole and Schmidt",David Sandoval,2023-12-07,Coconut,Yes,89
Jacobson-Jackson,Jose Smith,2020-03-21,Mint,Yes,30
Robertson Group,Erin Rios,2023-10-28,Mint,Yes,59
Thomas-Barker,Karen Cook,2023-05-31,Strawberry,No,82
"Cook, Walker and Bates",Rebecca Gomez,2021-01-23,Coconut,Yes,83
Gillespie-Cooper,Ethan Boyle,2021-05-08,Chocolate,Yes,16
Lee-Clark,Courtney Lopez,2023-11-06,Vanilla,No,72
"Davis, Olson and Howard",Jessica Sharp,2023-10-26,Lemon,Yes,6
"Stone, Conway and David",Justin Fuller,2022-12-16,Vanilla,Yes,11
"Wood, Townsend and Rodriguez",Christopher Williamson II,2022-08-21,Vanilla,No,52
"Robinson, Howard and Walker",Martha Alvarez,2020-09-25,Strawberry,Yes,85
Taylor-Brewer,Bob Lowe,2024-04-23,Coconut,Yes,94
Davis Group,Kevin Carroll,2023-05-21,Coconut,Yes,35
"Bruce, Jones and Rios",Matthew Brock,2022-11-27,Strawberry,Yes,6
"Smith, Davis and Harrison",Stanley Webster,2023-04-04,Mint,Yes,20
Mooney PLC,Miss Michelle Schneider,2023-08-15,Lemon,No,89
Smith PLC,Christian Holland,2023-02-23,Lemon,No,53
"Farmer, Estes and Garcia",Jill Alvarado,2023-06-20,Chocolate,Yes,7
Perkins Group,Vanessa Smith,2021-12-08,Vanilla,No,9
Robinson-Bailey,Christopher Smith,2021-09-19,Strawberry,No,100
Deleon-Williams,Samantha Simmons,2023-08-31,Chocolate,No,48
Horton Inc,Mark Smith,2022-10-11,Lemon,No,36
"Richards, Acevedo and Norman",Gregory Thompson,2021-07-01,Vanilla,No,58
Joseph and Sons,Teresa Williams,2022-05-31,Vanilla,No,32
Johnson Group,Dustin Hogan,2022-08-30,Coconut,No,67
Turner-Newman,Destiny Warner,2021-07-10,Mint,Yes,82
Shields Inc,Stephanie Gould,2021-08-28,Chocolate,No,73
"Jimenez, Brown and Bailey",Thomas Hunter,2023-10-23,Coconut,Yes,82
Clarke-Vasquez,Harry Villanueva,2020-02-27,Vanilla,Yes,91
Rivera PLC,Gerald Miller,2021-10-26,Mint,Yes,2
Russell-Flores,Kimberly Hernandez,2022-06-28,Chocolate,No,63
"Shelton, Hebert and Pacheco",Albert Harding,2021-01-01,Lemon,No,79
"Glenn, Martin and Garcia",Amanda Williams,2020-07-19,Vanilla,Yes,41
"West, Davis and Casey",Cathy Lawrence,2024-03-14,Chocolate,Yes,26
Spencer-Moran,Kevin Noble,2022-07-27,Mint,No,34
Brown-King,Regina Chaney,2024-02-19,Strawberry,No,40
Baldwin Ltd,David Hogan,2023-01-17,Vanilla,Yes,71
"Day, Pearson and Thomas",Dustin Fox,2022-01-17,Chocolate,No,42
"Lozano, Gallegos and Kelly",Stacy Hodges,2021-01-16,Vanilla,No,10
Walker PLC,Jacqueline Zuniga,2022-08-04,Strawberry,Yes,43
"Jimenez, Moran and Allen",Julie Wright,2020-03-06,Mint,No,44
Turner-Nelson,Shannon Bell,2024-04-05,Chocolate,Yes,45
Fleming-Knight,Kelsey Madden,2020-04-10,Strawberry,No,66
"Quinn, Nelson and Montes",Jacqueline Gonzalez,2023-11-13,Strawberry,Yes,78
Herring-Mccann,Veronica Robinson,2023-04-14,Mint,No,4
Rowland Ltd,Douglas Matthews,2020-02-21,Strawberry,No,47
"Hicks, Parker and Nguyen",Justin Mccann,2023-02-09,Mint,No,85
Hatfield-Gordon,Edward Benson,2022-10-06,Vanilla,No,72
Smith-Fuller,Brian Padilla,2023-11-14,Mint,No,56
"Mcmillan, Smith and Hurst",Carrie Pope,2024-05-24,Vanilla,No,25
"Holmes, Goodwin and Sanchez",Mckenzie Thomas DVM,2023-11-15,Lemon,Yes,4
Chung and Sons,Mrs. Rachel Kelly,2020-02-02,Strawberry,No,83
Hicks-Jones,Nicholas Carney,2021-10-26,Strawberry,No,91
"Munoz, Hanson and Murillo",Tonya Hernandez,2024-01-03,Coconut,No,30
"Decker, Thomas and Green",Linda Ellis,2022-01-07,Lemon,Yes,16
"James, Dunn and Martinez",Kathy Contreras,2021-04-26,Strawberry,Yes,32
Vasquez LLC,Sandra Harris,2024-04-15,Strawberry,No,61
Burton Inc,Lisa Miller,2022-04-10,Coconut,Yes,39
Smith Ltd,Hunter Jennings,2020-10-23,Mint,No,87
Orr Group,Shelly Phillips,2023-04-26,Vanilla,No,22
Ramos-Ramsey,Monica Allen,2023-09-24,Strawberry,Yes,37
Hall-Armstrong,Madison Solis,2020-07-30,Lemon,No,60
"Gonzalez, Taylor and Hamilton",Anthony Lopez,2024-03-21,Mint,Yes,11
Wilson Ltd,Linda Gonzales,2020-06-05,Lemon,No,89
Webb-Chapman,Stephanie Johnston,2023-06-20,Vanilla,Yes,39
"Perez, Jones and Archer",Anthony Guzman,2023-02-08,Vanilla,No,42
Scott Inc,Darryl Hicks,2021-10-18,Chocolate,Yes,9
Yates-Ortiz,Jacqueline Griffin,2023-06-04,Lemon,Yes,70
"Burnett, Webb and Kim",Elizabeth Baker,2022-09-11,Coconut,No,84
Anderson-Johnson,Nathan Wright,2021-04-21,Coconut,No,29
Hicks Ltd,Matthew Hendricks,2022-02-06,Lemon,Yes,78
Paul-Patton,Catherine Webb,2021-05-21,Strawberry,No,37
Warren-Lam,Kayla Williams,2021-05-16,Coconut,Yes,89
Joseph-Johnson,Kevin Reed,2020-05-20,Chocolate,No,84
Jackson-Rose,Abigail Taylor,2022-12-25,Coconut,Yes,47
"Hall, Ray and Butler",Brenda Murphy,2020-02-01,Mint,No,99
"Evans, Gonzales and Brooks",Peter Dennis,2020-06-17,Mint,No,1
Roach Group,Kevin Fuller,2023-03-06,Chocolate,Yes,18
"Jones, Green and Thomas",Tammy Wise,2020-11-02,Vanilla,No,78
Marsh LLC,Martin Singleton,2023-10-10,Vanilla,Yes,73
Montgomery and Sons,Jenna Meyer,2021-12-18,Strawberry,Yes,37
Jackson Inc,James Robinson,2022-03-20,Strawberry,Yes,35
"Williams, Jones and Brown",Anna Carpenter,2020-11-29,Strawberry,No,32
Hammond LLC,David Pitts,2023-04-13,Vanilla,No,25
Woods LLC,Mrs. Krystal Thornton DDS,2020-04-03,Mint,Yes,3
"Hicks, Smith and Barton",Ashley Becker,2024-02-24,Lemon,No,57
"Hunter, Morris and Jordan",Mr. Daniel Fitzgerald,2023-03-13,Vanilla,No,21
"Davenport, Tucker and Mills",Ashley Williams,2024-03-06,Chocolate,No,99
"Knight, Colon and Oconnell",Amy Jones,2021-10-17,Strawberry,No,47
"Williams, Zimmerman and Avila",Kelly Colon,2022-08-10,Coconut,Yes,91
Martinez PLC,Breanna Weber,2020-07-04,Coconut,No,59
Vaughn PLC,Jessica Sparks,2020-05-11,Chocolate,Yes,67
Richard-Fitzgerald,Cindy Perez,2020-06-12,Coconut,Yes,48
Lopez-Green,Adam Hull,2022-11-21,Strawberry,No,91
West-Allen,Sarah Mcclure,2020-12-28,Lemon,Yes,63
"Quinn, Doyle and Ortiz",Cole Johnson,2021-09-29,Chocolate,Yes,89
Hinton-Horton,Christina Rhodes,2022-09-26,Strawberry,No,2
Padilla PLC,Kathy Murphy,2021-12-29,Chocolate,No,18
